<<<<<<< HEAD
jurisdiction,year,murder_rate,rape_rate,robbery_rate,agg_rate,"MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Alabama,2006,8.3,35.9,153.5,227.6,,,,
Alabama,2007,8.9,33.4,159.9,245.8,7.2,-6.9,4.1,8
Alabama,2008,7.6,34.7,157.6,253,-14.9,3.9,-1.4,2.9
Alabama,2009,6.9,31.9,132.9,278.1,-9.4,-7.9,-15.6,9.9
Alabama,2010,5.7,28.2,99.6,244.2,-16.7,-11.6,-25.1,-12.2
Alabama,2011,6.3,28.5,102.2,283,9.7,1.1,2.6,15.9
Alabama,2012,7.1,26.9,104.1,311.8,13.2,-5.8,1.8,10.2
Alabama,2013,7.2,29.5,96.2,285.2,1.2,9.9,-7.6,-8.5
Alabama,2014,5.7,29.6,96.9,283.4,-20.7,0.2,0.8,-0.6
Alabama,2015,7.2,30,94.9,328.3,25.8,1.2,-2.1,15.8
Alabama,2016,8.4,28.5,96.4,388.2,16.9,-5,1.5,18.2
Alabama,2017,8.3,41.6,86.5,387.8,-1,46.1,-10.2,-0.1
Alabama,2018,7.8,40.8,83.4,387.6,-5.5,-1.8,-3.6,0
Alabama,2019,7.3,42.2,80.4,381,-6.8,3.3,-3.6,-1.7
Alaska,2006,5.4,76,90.3,516.4,,,,
Alaska,2007,6.4,77.4,85.3,492,19.8,1.9,-5.5,-4.7
Alaska,2008,4.1,64.3,94,489.6,-36.6,-17,10.2,-0.5
Alaska,2009,3.1,73.3,93.8,462.7,-22.8,14.1,-0.2,-5.5
Alaska,2010,4.4,75,83.6,475.8,38.6,2.4,-10.8,2.8
Alaska,2011,4,58.1,79.7,464.6,-8.1,-22.6,-4.7,-2.3
Alaska,2012,4.1,79.7,86.1,433.2,2.2,37.2,8.1,-6.8
Alaska,2013,4.6,87.6,84.9,425.5,12.8,9.9,-1.4,-1.8
Alaska,2014,5.6,75.3,85.4,440.2,20.3,-14,0.6,3.5
Alaska,2015,8,88,103.1,497.1,43.6,16.8,20.7,12.9
Alaska,2016,7,102,114.6,540.6,-12.3,15.9,11.2,8.8
Alaska,2017,8.4,116.7,128.5,575.4,19.6,14.3,12.2,6.4
Alaska,2018,6.4,161.6,121.5,595.4,-24,38.6,-5.5,3.5
Alaska,2019,9.4,148.7,112.9,596,48,-8,-7.1,0.1
Arizona,2006,7.5,31.5,149.6,312.7,,,,
Arizona,2007,7.4,29.3,151.7,294.3,-2.1,-7,1.4,-5.9
Arizona,2008,6.3,25.7,149.2,265.9,-15.2,-12.1,-1.7,-9.7
Arizona,2009,5.4,32,122.8,248.1,-14.3,24.3,-17.7,-6.7
Arizona,2010,6.4,33.9,108.5,259.3,19.2,5.9,-11.6,4.5
Arizona,2011,6.2,34.9,109.9,254.8,-2.4,3.1,1.3,-1.7
Arizona,2012,5.5,34.7,112.7,276,-12.6,-0.5,2.5,8.3
Arizona,2013,5.4,35.4,101.1,263.9,-1.4,1.8,-10.3,-4.4
Arizona,2014,4.7,36.6,92.8,252.1,-12,3.5,-8.2,-4.5
Arizona,2015,4.5,33.6,93.1,267.1,-4.5,-8.2,0.3,5.9
Arizona,2016,5.5,35.4,101.8,315.4,21.1,5.3,9.3,18.1
Arizona,2017,5.9,51,106,345,8.1,44.3,4.2,9.4
Arizona,2018,5.1,50.7,91,328.1,-13.2,-0.6,-14.2,-4.9
Arizona,2019,5,50.3,88.1,311.9,-2.5,-0.8,-3.2,-4.9
Arkansas,2006,7.3,46.5,98.4,399.4,,,,
Arkansas,2007,6.7,44.7,106.7,371.2,-7.6,-3.9,8.4,-7.1
Arkansas,2008,5.7,48.9,95.8,353.1,-15.8,9.2,-10.2,-4.9
Arkansas,2009,6.2,47.3,89.4,374.8,9.2,-3.1,-6.7,6.2
Arkansas,2010,4.7,45,81.3,374.3,-23.6,-5,-9,-0.1
Arkansas,2011,5.5,41.3,82.6,351.5,16.5,-8.2,1.6,-6.1
Arkansas,2012,5.9,42.3,78.7,342.3,6.4,2.4,-4.8,-2.6
Arkansas,2013,5.4,33.6,76.3,330.5,-8.4,-20.6,-3,-3.4
Arkansas,2014,5.6,39.8,69.1,346,3.5,18.8,-9.4,4.7
Arkansas,2015,6.1,43.7,70.4,380,9.3,9.5,1.9,9.8
Arkansas,2016,7.2,51.7,70.9,401,18.9,18.4,0.7,5.5
Arkansas,2017,8.6,68.3,64.4,413.6,18.8,32.2,-9.2,3.1
Arkansas,2018,7.2,72.9,52.9,410.7,-16.5,6.6,-17.9,-0.7
Arkansas,2019,8,77.2,51.6,447.8,11.9,6,-2.4,9
California,2006,6.8,25.3,194.7,305.7,,,,
California,2007,6.2,24.7,193,298.8,-9.3,-2.4,-0.9,-2.3
California,2008,5.8,24.2,188.8,285,-5.7,-1.8,-2.2,-4.6
California,2009,5.3,23.6,173.4,269.7,-8.4,-2.7,-8.1,-5.4
California,2010,4.9,22.4,156,257.4,-9,-5.1,-10,-4.6
California,2011,4.8,20.3,144,242,-2.1,-9.1,-7.7,-6
California,2012,5,20.6,148.6,248.9,4.2,1.3,3.1,2.9
California,2013,4.6,19.5,139.9,232.3,-8,-5.5,-5.8,-6.7
California,2014,4.4,21.6,125.5,236.6,-3.9,11.2,-10.3,1.9
California,2015,4.8,24,135,253.8,8.6,10.8,7.6,7.3
California,2016,4.9,25.9,139.6,265.9,3.4,7.8,3.4,4.8
California,2017,4.6,37.2,143.2,264.2,-5.9,44,2.6,-0.6
California,2018,4.4,39.2,137.3,266.5,-5,5.3,-4.1,0.9
California,2019,4.3,37.5,132.4,267.1,-2.7,-4.4,-3.6,0.2
Colorado,2006,3.3,43.7,80.7,264,,,,
Colorado,2007,3.1,41.1,71,232.5,-5.3,-5.9,-12,-11.9
Colorado,2008,3.2,42.5,68.1,229.3,1,3.3,-4.1,-1.4
Colorado,2009,3.5,44.6,67.4,222.3,9.6,5,-1.1,-3
Colorado,2010,2.4,43.7,62.3,212.4,-31.5,-2,-7.6,-4.5
Colorado,2011,2.9,44.5,64.6,208.1,22,1.9,3.7,-2
Colorado,2012,3.1,40.7,65.4,199.6,7.2,-8.5,1.3,-4.1
Colorado,2013,3.4,38.9,59.8,189.1,8.2,-4.5,-8.6,-5.2
Colorado,2014,2.8,39.6,56.7,192.8,-16.6,1.8,-5.1,1.9
Colorado,2015,3.2,43.6,60.9,197.2,14.4,10,7.3,2.3
Colorado,2016,3.7,47.3,63.7,211.1,14.2,8.5,4.6,7.1
Colorado,2017,3.9,68.8,68.4,226.9,7,45.6,7.5,7.5
Colorado,2018,3.7,71.5,66.7,255.4,-6.5,3.9,-2.6,12.6
Colorado,2019,3.8,67.2,63.6,246.3,2.7,-5.9,-4.6,-3.6
Connecticut,2006,3.1,18.1,121,138.6,,,,
Connecticut,2007,3,18.8,103,131.2,-1.8,3.5,-14.9,-5.3
Connecticut,2008,3.5,19.3,111.6,163.5,16.1,2.5,8.3,24.6
Connecticut,2009,3,18.5,113.4,163.7,-13.4,-3.9,1.6,0.2
Connecticut,2010,3.6,16.3,99.4,162,19.6,-11.8,-12.3,-1
Connecticut,2011,3.6,19.2,102.7,147.3,-1.7,17.4,3.3,-9.1
Connecticut,2012,4.1,25.6,102.7,150.6,13.8,33.6,0,2.2
Connecticut,2013,2.4,18.6,98.2,135.4,-41.2,-27.4,-4.4,-10.1
Connecticut,2014,2.4,15.9,87.8,125,0,-14.5,-10.5,-7.7
Connecticut,2015,3.3,16.2,80.5,113.1,36.3,2.1,-8.3,-9.5
Connecticut,2016,2.2,15.7,75.6,128,-33.1,-3.2,-6.2,13.2
Connecticut,2017,2.8,23.3,78.4,123.4,30.3,48.7,3.7,-3.6
Connecticut,2018,2.3,23.5,61.4,120.2,-18.3,0.8,-21.7,-2.6
Connecticut,2019,2.9,21.6,54.1,105,25.6,-8,-11.9,-12.7
Delaware,2006,4.9,46.9,203.3,426.5,,,,
Delaware,2007,4.3,38.9,197.3,448.8,-13.1,-17.1,-3,5.2
Delaware,2008,6.5,41.9,210.5,444.4,52.6,7.9,6.7,-1
Delaware,2009,4.6,38.2,188.8,405,-29,-8.9,-10.3,-8.9
Delaware,2010,5.3,34.7,203.7,377.1,15.4,-9,7.9,-6.9
Delaware,2011,4.5,31.9,169.5,353.5,-15.4,-8.3,-16.8,-6.2
Delaware,2012,6.2,26.5,162.7,352,37.5,-16.8,-4,-0.4
Delaware,2013,4.2,28.7,132.4,313.7,-32.2,8.4,-18.6,-10.9
Delaware,2014,5.8,26.6,135.6,306.4,37,-7.4,2.4,-2.3
Delaware,2015,6.7,25.7,130.6,325.7,15.4,-3.5,-3.7,6.3
Delaware,2016,5.9,23.2,142.7,327.8,-11.7,-9.6,9.3,0.6
Delaware,2017,5.6,34.7,112.5,300.5,-4.6,49.6,-21.2,-8.3
Delaware,2018,5,34.9,89.5,294.2,-11.6,0.7,-20.4,-2.1
Delaware,2019,4.9,31.8,81.1,304.7,-0.7,-8.9,-9.4,3.6
Florida,2006,6.2,35.8,188.8,481.2,,,,
Florida,2007,6.6,33.7,209.1,473.2,5.4,-5.8,10.8,-1.7
Florida,2008,6.4,32.6,197.9,452,-3.2,-3.3,-5.3,-4.5
Florida,2009,5.5,29.7,166.7,410.6,-13.9,-8.9,-15.7,-9.2
Florida,2010,5.2,28.6,138.7,369.8,-4.3,-3.7,-16.8,-9.9
Florida,2011,5.2,27.7,134.4,348,-1.6,-3.2,-3.1,-5.9
Florida,2012,5.2,27.2,123.7,330.9,1.2,-1.6,-8,-4.9
Florida,2013,5,24.1,118.7,312.3,-4.8,-11.3,-4.1,-5.6
Florida,2014,5.8,30.4,125.2,366.4,16.2,26,5.6,17.4
